Date and Time,sampling feature/location,citation," discharge -unit-cfs-processing level-L0",quality code,quality annotation,
2019-03-29 23:45:00," Quebrada Sonadora",,6.13336803854099,Good,,
2019-03-30 00:00:00," Quebrada Sonadora",,6.21730453970366,Good,,
2019-03-30 00:15:00," Quebrada Sonadora",,6.17519124307483,Good,,
2019-03-30 00:30:00," Quebrada Sonadora",,6.08228937831115,Good,,
2019-03-30 00:45:00," Quebrada Sonadora",,6.05058600820286,Good,,
2019-03-30 01:00:00," Quebrada Sonadora",,6.11096749114893,Good,,
2019-03-30 01:15:00," Quebrada Sonadora",,6.04742497921882,Good,,
2019-03-30 01:30:00," Quebrada Sonadora",,6.07593514924872,Good,,
2019-03-30 01:45:00," Quebrada Sonadora",,6.05058600820286,Good,,
2019-03-30 02:00:00," Quebrada Sonadora",,6.11096749114893,Good,,
2019-03-30 02:15:00," Quebrada Sonadora",,6.06007923997902,Good,,
2019-03-30 02:30:00," Quebrada Sonadora",,6.03479775344601,Good,,
2019-03-30 02:45:00," Quebrada Sonadora",,6.00648511991704,Good,,
2019-03-30 03:00:00," Quebrada Sonadora",,6.04110798964052,Good,,
2019-03-30 03:15:00," Quebrada Sonadora",,5.98455834226445,Good,,
2019-03-30 03:30:00," Quebrada Sonadora",,6.01590751154009,Good,,
2019-03-30 03:45:00," Quebrada Sonadora",,6.04110798964052,Good,,
2019-03-30 04:00:00," Quebrada Sonadora",,6.04110798964052,Good,,
2019-03-30 04:15:00," Quebrada Sonadora",,6.06324703441396,Good,,
2019-03-30 04:30:00," Quebrada Sonadora",,6.00962423525789,Good,,
2019-03-30 04:45:00," Quebrada Sonadora",,6.04110798964052,Good,,
2019-03-30 05:00:00," Quebrada Sonadora",,6.00962423525783,Good,,
2019-03-30 05:15:00," Quebrada Sonadora",,6.04426563992149,Good,,
2019-03-30 05:30:00," Quebrada Sonadora",,6.01905167382205,Good,,
2019-03-30 05:45:00," Quebrada Sonadora",,5.91000298436177,Good,,
2019-03-30 06:00:00," Quebrada Sonadora",,6.07276057863481,Good,,
2019-03-30 06:15:00," Quebrada Sonadora",,6.01905167382205,Good,,
2019-03-30 06:30:00," Quebrada Sonadora",,5.98768570486232,Good,,
2019-03-30 06:45:00," Quebrada Sonadora",,6.01905167382205,Good,,
2019-03-30 07:00:00," Quebrada Sonadora",,5.98143265595002,Good,,
2019-03-30 07:15:00," Quebrada Sonadora",,5.91617927854753,Good,,
