Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-03-30 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 05:45:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 06:00:00," Quebrada Sonadora",,0.0,Good,,
2019-03-30 06:15:00," Quebrada Sonadora",,32.3,Good,,
2019-03-30 06:30:00," Quebrada Sonadora",,172.2,Good,,
2019-03-30 06:45:00," Quebrada Sonadora",,419.8,Good,,
2019-03-30 07:00:00," Quebrada Sonadora",,398.3,Good,,
2019-03-30 07:15:00," Quebrada Sonadora",,473.6,Good,,
2019-03-30 07:30:00," Quebrada Sonadora",,1194.8,Good,,
2019-03-30 07:45:00," Quebrada Sonadora",,1636.1,Good,,
2019-03-30 08:00:00," Quebrada Sonadora",,2497.2,Good,,
2019-03-30 08:15:00," Quebrada Sonadora",,2927.8,Good,,
2019-03-30 08:30:00," Quebrada Sonadora",,2497.2,Good,,
2019-03-30 08:45:00," Quebrada Sonadora",,2669.5,Good,,
2019-03-30 09:00:00," Quebrada Sonadora",,1722.2,Good,,
2019-03-30 09:15:00," Quebrada Sonadora",,1894.5,Good,,
2019-03-30 09:30:00," Quebrada Sonadora",,3100.0,Good,,
2019-03-30 09:45:00," Quebrada Sonadora",,4650.0,Good,,
2019-03-30 10:00:00," Quebrada Sonadora",,6544.5,Good,,
2019-03-30 10:15:00," Quebrada Sonadora",,8611.2,Good,,
2019-03-30 10:30:00," Quebrada Sonadora",,8611.2,Good,,
2019-03-30 10:45:00," Quebrada Sonadora",,9644.5,Good,,
2019-03-30 11:00:00," Quebrada Sonadora",,8611.2,Good,,
2019-03-30 11:15:00," Quebrada Sonadora",,11711.2,Good,,
