Date and Time,sampling feature/location,citation," discharge -unit-cfs-processing level-L0",quality code,quality annotation,
2019-06-17 21:45:00," Quebrada Sonadora",,10.2903618565288,Good,,
2019-06-17 22:00:00," Quebrada Sonadora",,10.3061106771331,Good,,
2019-06-17 22:15:00," Quebrada Sonadora",,10.3218810107776,Good,,
2019-06-17 22:30:00," Quebrada Sonadora",,10.379889926389,Good,,
2019-06-17 22:45:00," Quebrada Sonadora",,10.1807209034692,Good,,
2019-06-17 23:00:00," Quebrada Sonadora",,10.2432442855625,Good,,
2019-06-17 23:15:00," Quebrada Sonadora",,10.0875763510302,Good,,
2019-06-17 23:30:00," Quebrada Sonadora",,10.0361602050135,Good,,
2019-06-17 23:45:00," Quebrada Sonadora",,9.98497948650095,Good,,
2019-06-18 00:00:00," Quebrada Sonadora",,10.1444068575535,Good,,
2019-06-18 00:15:00," Quebrada Sonadora",,10.0310315503575,Good,,
2019-06-18 00:30:00," Quebrada Sonadora",,9.9391175577548,Good,,
2019-06-18 00:45:00," Quebrada Sonadora",,9.99008698386115,Good,,
2019-06-18 01:00:00," Quebrada Sonadora",,9.88332156103445,Good,,
2019-06-18 01:15:00," Quebrada Sonadora",,9.9798743364878,Good,,
2019-06-18 01:30:00," Quebrada Sonadora",,10.0003090233927,Good,,
2019-06-18 01:45:00," Quebrada Sonadora",,9.84796208619343,Good,,
2019-06-18 02:00:00," Quebrada Sonadora",,9.8580531396446,Good,,
2019-06-18 02:15:00," Quebrada Sonadora",,9.80266753406067,Good,,
2019-06-18 02:30:00," Quebrada Sonadora",,9.81271671535325,Good,,
2019-06-18 02:45:00," Quebrada Sonadora",,9.79764642739843,Good,,
2019-06-18 03:00:00," Quebrada Sonadora",,9.74756294198437,Good,,
2019-06-18 03:15:00," Quebrada Sonadora",,9.71264227493947,Good,,
2019-06-18 03:30:00," Quebrada Sonadora",,9.86815351324407,Good,,
2019-06-18 03:45:00," Quebrada Sonadora",,9.76756851961841,Good,,
2019-06-18 04:00:00," Quebrada Sonadora",,9.77257570625579,Good,,
2019-06-18 04:15:00," Quebrada Sonadora",,9.73757404483325,Good,,
2019-06-18 04:30:00," Quebrada Sonadora",,9.71264227493953,Good,,
2019-06-18 04:45:00," Quebrada Sonadora",,9.72260804812879,Good,,
2019-06-18 05:00:00," Quebrada Sonadora",,9.72260804812879,Good,,
2019-06-18 05:15:00," Quebrada Sonadora",,9.62830570571447,Good,,
2019-06-18 05:30:00," Quebrada Sonadora",,9.574089124029,Good,,
2019-06-18 05:45:00," Quebrada Sonadora",,9.574089124029,Good,,
2019-06-18 06:00:00," Quebrada Sonadora",,9.48109460446949,Good,,
2019-06-18 06:15:00," Quebrada Sonadora",,9.5888479382989,Good,,
2019-06-18 06:30:00," Quebrada Sonadora",,9.44704096994195,Good,,
2019-06-18 06:45:00," Quebrada Sonadora",,9.47622297254526,Good,,
2019-06-18 07:00:00," Quebrada Sonadora",,9.45189895133399,Good,,
2019-06-18 07:15:00," Quebrada Sonadora",,9.51525983673179,Good,,
2019-06-18 07:30:00," Quebrada Sonadora",,9.44218526122285,Good,,
2019-06-18 07:45:00," Quebrada Sonadora",,9.43248065904282,Good,,
2019-06-18 08:00:00," Quebrada Sonadora",,9.40825887706092,Good,,
