Date and Time,sampling feature/location,citation," Light Intensity -unit-Lux-processing level-L0",quality code,quality annotation,
2019-06-17 23:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 00:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 00:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 00:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 00:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 01:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 01:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 01:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 01:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 02:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 02:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 02:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 02:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 03:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 03:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 03:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 03:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 04:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 04:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 04:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 04:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 05:00:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 05:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 05:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 05:45:00," Quebrada Sonadora",,53.8,Good,,
2019-06-18 06:00:00," Quebrada Sonadora",,247.6,Good,,
2019-06-18 06:15:00," Quebrada Sonadora",,871.9,Good,,
2019-06-18 06:30:00," Quebrada Sonadora",,1022.6,Good,,
2019-06-18 06:45:00," Quebrada Sonadora",,1377.8,Good,,
2019-06-18 07:00:00," Quebrada Sonadora",,2583.4,Good,,
2019-06-18 07:15:00," Quebrada Sonadora",,3444.5,Good,,
2019-06-18 07:30:00," Quebrada Sonadora",,2238.9,Good,,
2019-06-18 07:45:00," Quebrada Sonadora",,2238.9,Good,,
2019-06-18 08:00:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-18 08:15:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-18 08:30:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-18 08:45:00," Quebrada Sonadora",,5511.1,Good,,
2019-06-18 09:00:00," Quebrada Sonadora",,9300.1,Good,,
2019-06-18 09:15:00," Quebrada Sonadora",,7233.4,Good,,
2019-06-18 09:30:00," Quebrada Sonadora",,4822.3,Good,,
2019-06-18 09:45:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-18 10:00:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-18 10:15:00," Quebrada Sonadora",,10677.8,Good,,
2019-06-18 10:30:00," Quebrada Sonadora",,8266.7,Good,,
2019-06-18 10:45:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-18 11:00:00," Quebrada Sonadora",,12400.1,Good,,
2019-06-18 11:15:00," Quebrada Sonadora",,11711.2,Good,,
2019-06-18 11:30:00," Quebrada Sonadora",,9644.5,Good,,
2019-06-18 11:45:00," Quebrada Sonadora",,5338.9,Good,,
2019-06-18 12:00:00," Quebrada Sonadora",,60622.6,Good,,
2019-06-18 12:15:00," Quebrada Sonadora",,10677.8,Good,,
2019-06-18 12:30:00," Quebrada Sonadora",,30311.3,Good,,
2019-06-18 12:45:00," Quebrada Sonadora",,8266.7,Good,,
2019-06-18 13:00:00," Quebrada Sonadora",,8266.7,Good,,
2019-06-18 13:15:00," Quebrada Sonadora",,7577.8,Good,,
2019-06-18 13:30:00," Quebrada Sonadora",,8611.2,Good,,
2019-06-18 13:45:00," Quebrada Sonadora",,18600.1,Good,,
2019-06-18 14:00:00," Quebrada Sonadora",,5511.1,Good,,
2019-06-18 14:15:00," Quebrada Sonadora",,11022.3,Good,,
2019-06-18 14:30:00," Quebrada Sonadora",,13089.0,Good,,
2019-06-18 14:45:00," Quebrada Sonadora",,9300.1,Good,,
2019-06-18 15:00:00," Quebrada Sonadora",,6544.5,Good,,
2019-06-18 15:15:00," Quebrada Sonadora",,6200.0,Good,,
2019-06-18 15:30:00," Quebrada Sonadora",,19289.0,Good,,
2019-06-18 15:45:00," Quebrada Sonadora",,6544.5,Good,,
2019-06-18 16:00:00," Quebrada Sonadora",,14466.8,Good,,
2019-06-18 16:15:00," Quebrada Sonadora",,18600.1,Good,,
2019-06-18 16:30:00," Quebrada Sonadora",,3100.0,Good,,
2019-06-18 16:45:00," Quebrada Sonadora",,2152.8,Good,,
2019-06-18 17:00:00," Quebrada Sonadora",,5166.7,Good,,
2019-06-18 17:15:00," Quebrada Sonadora",,1808.3,Good,,
2019-06-18 17:30:00," Quebrada Sonadora",,1894.5,Good,,
2019-06-18 17:45:00," Quebrada Sonadora",,1044.1,Good,,
2019-06-18 18:00:00," Quebrada Sonadora",,1550.0,Good,,
2019-06-18 18:15:00," Quebrada Sonadora",,904.2,Good,,
2019-06-18 18:30:00," Quebrada Sonadora",,667.4,Good,,
2019-06-18 18:45:00," Quebrada Sonadora",,193.8,Good,,
2019-06-18 19:00:00," Quebrada Sonadora",,43.1,Good,,
2019-06-18 19:15:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 19:30:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 19:45:00," Quebrada Sonadora",,0.0,Good,,
2019-06-18 20:00:00," Quebrada Sonadora",,0.0,Good,,
