Date and Time,sampling feature/location,citation," Stage Height -unit-CM-processing level-L1 passed QAQC",quality code,quality annotation,
2019-03-30 01:16:15," Quebrada Sonadora",,11.79919,Good,,
2019-03-30 01:31:14," Quebrada Sonadora",,11.77897,Good,,
2019-03-30 01:46:15," Quebrada Sonadora",,11.79404,Good,,
2019-03-30 02:01:15," Quebrada Sonadora",,11.74753,Good,,
2019-03-30 02:16:15," Quebrada Sonadora",,11.71263,Good,,
2019-03-30 02:31:14," Quebrada Sonadora",,11.71468,Good,,
2019-03-30 02:46:15," Quebrada Sonadora",,11.63034,Good,,
2019-03-30 03:01:15," Quebrada Sonadora",,11.59046,Good,,
2019-03-30 03:16:15," Quebrada Sonadora",,11.64056,Good,,
2019-03-30 03:31:14," Quebrada Sonadora",,11.65803,Good,,
2019-03-30 03:46:15," Quebrada Sonadora",,11.65628,Good,,
2019-03-30 04:01:15," Quebrada Sonadora",,11.72108,Good,,
2019-03-30 04:16:15," Quebrada Sonadora",,11.67006,Good,,
2019-03-30 04:31:14," Quebrada Sonadora",,11.64339,Good,,
2019-03-30 04:46:15," Quebrada Sonadora",,11.58926,Good,,
2019-03-30 05:01:15," Quebrada Sonadora",,11.5826,Good,,
2019-03-30 05:16:15," Quebrada Sonadora",,11.58532,Good,,
2019-03-30 05:31:14," Quebrada Sonadora",,11.54681,Good,,
2019-03-30 05:46:15," Quebrada Sonadora",,11.59322,Good,,
2019-03-30 06:01:15," Quebrada Sonadora",,11.62219,Good,,
2019-03-30 06:16:15," Quebrada Sonadora",,11.58684,Good,,
2019-03-30 06:31:14," Quebrada Sonadora",,11.51332,Good,,
2019-03-30 06:46:15," Quebrada Sonadora",,11.49918,Good,,
2019-03-30 07:01:15," Quebrada Sonadora",,11.44015,Good,,
2019-03-30 07:16:15," Quebrada Sonadora",,11.46574,Good,,
2019-03-30 07:31:14," Quebrada Sonadora",,11.41389,Good,,
2019-03-30 07:46:15," Quebrada Sonadora",,11.40951,Good,,
2019-03-30 08:01:15," Quebrada Sonadora",,11.41476,Good,,
2019-03-30 08:16:15," Quebrada Sonadora",,11.41636,Good,,
2019-03-30 08:31:14," Quebrada Sonadora",,11.36159,Good,,
2019-03-30 08:46:15," Quebrada Sonadora",,11.33203,Good,,
2019-03-30 09:01:15," Quebrada Sonadora",,11.36975,Good,,
2019-03-30 09:16:15," Quebrada Sonadora",,11.33309,Good,,
2019-03-30 09:31:14," Quebrada Sonadora",,11.23515,Good,,
2019-03-30 09:46:15," Quebrada Sonadora",,11.26685,Good,,
2019-03-30 10:01:15," Quebrada Sonadora",,11.13177,Good,,
2019-03-30 10:16:15," Quebrada Sonadora",,11.05526,Good,,
2019-03-30 10:31:14," Quebrada Sonadora",,11.04642,Good,,
2019-03-30 10:46:15," Quebrada Sonadora",,11.02222,Good,,
2019-03-30 11:01:15," Quebrada Sonadora",,11.06725,Good,,
2019-03-30 11:16:15," Quebrada Sonadora",,11.04185,Good,,
2019-03-30 11:31:14," Quebrada Sonadora",,11.00142,Good,,
2019-03-30 11:46:15," Quebrada Sonadora",,10.95537,Good,,
2019-03-30 12:01:15," Quebrada Sonadora",,10.94656,Good,,
2019-03-30 12:16:15," Quebrada Sonadora",,11.05994,Good,,
2019-03-30 12:31:14," Quebrada Sonadora",,10.97659,Good,,
2019-03-30 12:46:15," Quebrada Sonadora",,11.02091,Good,,
2019-03-30 13:01:15," Quebrada Sonadora",,11.01263,Good,,
2019-03-30 13:16:15," Quebrada Sonadora",,10.87378,Good,,
2019-03-30 13:31:14," Quebrada Sonadora",,10.9473,Good,,
2019-03-30 13:46:15," Quebrada Sonadora",,10.95169,Good,,
2019-03-30 14:01:15," Quebrada Sonadora",,10.88351,Good,,
2019-03-30 14:16:15," Quebrada Sonadora",,10.87087,Good,,
2019-03-30 14:31:14," Quebrada Sonadora",,10.76354,Good,,
2019-03-30 14:46:15," Quebrada Sonadora",,10.68929,Good,,
2019-03-30 15:01:15," Quebrada Sonadora",,10.672,Good,,
2019-03-30 15:16:15," Quebrada Sonadora",,10.57762,Good,,
2019-03-30 15:31:14," Quebrada Sonadora",,10.61458,Good,,
2019-03-30 15:46:15," Quebrada Sonadora",,10.59993,Good,,
2019-03-30 16:01:15," Quebrada Sonadora",,10.57577,Good,,
2019-03-30 16:16:15," Quebrada Sonadora",,10.5011,Good,,
